"","X","Site","Quad","Species","trackID","Year","basalArea_genet","recruit","survives_tplus1","age","size_tplus1","nearEdge","Suspect","Treatment","Pasture","logsize"
"1",1,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_1997_1",1997,0.412625383401389,NA,1,NA,0.411735371069234,TRUE,FALSE,"gzgz","11",-0.885215159632867
"2",2,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_1997_1",1998,0.411735371069234,NA,1,NA,0.387951680924229,TRUE,FALSE,"gzgz","11",-0.887374439227716
"3",3,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_1997_1",1999,0.387951680924229,NA,1,NA,0.375491306236266,TRUE,FALSE,"gzgz","11",-0.94687448081427
"4",4,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_1997_1",2000,0.375491306236266,NA,1,NA,0.409594914274945,TRUE,FALSE,"gzgz","11",-0.979519960545928
"5",5,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_1997_1",2001,0.409594914274945,NA,1,NA,0.187451264936996,TRUE,FALSE,"gzgz","11",-0.892586621654857
"6",6,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_1997_1",2002,0.187451264936996,NA,1,NA,0.367782621250674,TRUE,FALSE,"gzgz","11",-1.67423638769284
"7",7,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_1997_1",2003,0.367782621250674,NA,1,NA,0.269233889875747,TRUE,FALSE,"gzgz","11",-1.0002632184702
"8",8,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_1997_1",2004,0.269233889875747,NA,1,NA,0.399472194951904,TRUE,FALSE,"gzgz","11",-1.31217479806628
"9",9,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_1997_1",2005,0.399472194951904,NA,1,NA,0.42240021501654,TRUE,FALSE,"gzgz","11",-0.917611115817737
"10",10,"CO","gzgz_11","Bouteloua gracilis","BOUGRA_1997_1",2006,0.42240021501654,NA,1,NA,0.190414718131705,TRUE,FALSE,"gzgz","11",-0.861802037554845
