"","Species","Pasture","Quad","Year","totParea","Gcov","NRquad"
"1","Bouteloua gracilis","11","gzgz_11",1998,0.412625383401389,0.331373923458258,0
"2","Bouteloua gracilis","11","gzgz_11",1999,0.411735371069234,0.376370099471718,0
"3","Bouteloua gracilis","11","gzgz_11",2000,0.387951680924229,0.380052504599866,1
"4","Bouteloua gracilis","11","gzgz_11",2001,0.377615690212925,0.34589925283224,3
"5","Bouteloua gracilis","11","gzgz_11",2002,0.411335773850896,0.376497178708227,0
"6","Bouteloua gracilis","11","gzgz_11",2003,0.18803212528336,0.232271679376888,0
"7","Bouteloua gracilis","11","gzgz_11",2004,0.369313737036113,0.259140118549918,0
"8","Bouteloua gracilis","11","gzgz_11",2005,0.269233889875747,0.160341562186746,1
"9","Bouteloua gracilis","11","gzgz_11",2006,0.399967037961206,0.249540471234588,1
"10","Bouteloua gracilis","11","gzgz_11",2007,0.424258594930487,0.251050547948501,0
"11","Bouteloua gracilis","11","gzgz_11",2008,0.191163092188807,0.156621963522133,5
"12","Bouteloua gracilis","11","gzgz_11",2009,0.396721725530875,0.212526355838177,0
"13","Bouteloua gracilis","11","gzgz_11",2010,0.265625091982154,0.240036908186346,0
"14","Bouteloua gracilis","11","gzun_11",1998,0.367024783966253,0.331373923458258,0
"15","Bouteloua gracilis","11","gzun_11",1999,0.440518863461491,0.376370099471718,0
"16","Bouteloua gracilis","11","gzun_11",2000,0.410804376070898,0.380052504599866,0
"17","Bouteloua gracilis","11","gzun_11",2001,0.400067190198088,0.34589925283224,0
"18","Bouteloua gracilis","11","gzun_11",2002,0.436331316004843,0.376497178708227,0
"19","Bouteloua gracilis","11","gzun_11",2003,0.26340354735285,0.232271679376888,0
"20","Bouteloua gracilis","11","gzun_11",2004,0.302337409476272,0.259140118549918,0
"21","Bouteloua gracilis","11","gzun_11",2005,0.255163953399468,0.160341562186746,0
"22","Bouteloua gracilis","11","gzun_11",2006,0.324731094113629,0.249540471234588,0
