"coefficient","value"
"logarea_1997",0.622827927828274
"logarea_1998",0.673207210545969
"logarea_1999",0.622619873703936
"logarea_2000",0.503011196543992
"logarea_2001",0.502052855128409
"logarea_2002",0.583877918880288
"logarea_2003",0.702550974307484
"logarea_2004",0.625632561694447
"logarea_2005",0.591904223576344
"logarea_2006",0.71323111705591
"logarea_2007",0.553933860923343
"logarea_2008",0.672014300738275
"logarea_2009",0.662313923848326
"year_1997",5.09149127328475
"year_1998",5.11987470833477
"year_1999",4.75137167616328
"year_2000",4.87850101264892
"year_2001",4.90153134105511
"year_2002",4.36130624862041
"year_2003",5.39187597319083
"year_2004",4.81235968452957
"year_2005",5.23453996812519
"year_2006",5.97081006510686
"year_2007",5.13963748148443
"year_2008",5.63738856509323
"year_2009",5.07765014555368
